customerid,age,gender,item_purchased,category,purchase_amount,location
1,55,Male,Blouse,Clothing,53,Kentucky
2,19,Male,Sweater,Clothing,64,Maine
3,50,Male,Jeans,Clothing,73,Massachusetts
4,21,Male,Sandals,Footwear,90,Rhode Island
5,45,Male,Blouse,Clothing,49,Oregon
6,46,Male,Sneakers,Footwear,20,Wyoming
7,63,Male,Shirt,Clothing,85,Montana
8,27,Male,Shorts,Clothing,34,Louisiana
9,26,Male,Coat,Outerwear,97,West Virginia
10,57,Male,Handbag,Accessories,31,Missouri
11,53,Male,Shoes,Footwear,34,Arkansas
12,30,Male,Shorts,Clothing,68,Hawaii
13,61,Male,Coat,Outerwear,72,Delaware
14,65,Male,Dress,Clothing,51,New Hampshire
15,64,Male,Coat,Outerwear,53,New York
16,64,Male,Skirt,Clothing,81,Rhode Island
17,25,Male,Sunglasses,Accessories,36,Alabama
18,53,Male,Dress,Clothing,38,Mississippi
19,52,Male,Sweater,Clothing,48,Montana
20,66,Male,Pants,Clothing,90,Rhode Island
21,21,Male,Pants,Clothing,51,Louisiana
22,31,Male,Pants,Clothing,62,North Carolina
23,56,Male,Pants,Clothing,37,California
24,31,Male,Pants,Clothing,88,Oklahoma
25,18,Male,Jacket,Outerwear,22,Florida
26,18,Male,Hoodie,Clothing,25,Texas
27,38,Male,Jewelry,Accessories,20,Nevada
28,56,Male,Shorts,Clothing,56,Kentucky
29,54,Male,Handbag,Accessories,94,North Carolina
30,31,Male,Dress,Clothing,48,Wyoming
31,57,Male,Jewelry,Accessories,31,North Carolina
32,33,Male,Dress,Clothing,79,West Virginia
33,36,Male,Jacket,Outerwear,67,Kansas
34,54,Male,Pants,Clothing,38,Colorado
35,36,Male,T-shirt,Clothing,91,North Dakota
36,54,Male,Blouse,Clothing,33,Massachusetts
37,35,Male,T-shirt,Clothing,69,Illinois
38,35,Male,Jeans,Clothing,45,Indiana
39,29,Male,Dress,Clothing,37,Florida
40,70,Male,Pants,Clothing,60,Arizona
41,69,Male,Handbag,Accessories,76,Louisiana
42,67,Male,Scarf,Accessories,39,Alaska
43,20,Male,Coat,Outerwear,100,Tennessee
44,25,Male,Scarf,Accessories,69,Ohio
45,39,Male,Hat,Accessories,53,Kentucky
46,50,Male,Socks,Clothing,21,Tennessee
47,57,Male,Shirt,Clothing,43,California
48,55,Male,Jewelry,Accessories,54,Montana
49,42,Male,Shirt,Clothing,55,Nevada
50,68,Male,Hoodie,Clothing,30,New Jersey
51,49,Male,Blouse,Clothing,28,Maryland
52,59,Male,Skirt,Clothing,59,Vermont
53,42,Male,T-shirt,Clothing,20,Alaska
54,29,Male,Skirt,Clothing,24,Mississippi
55,47,Male,Coat,Outerwear,94,New Mexico
56,40,Male,Jacket,Outerwear,28,South Carolina
57,41,Male,Backpack,Accessories,73,Mississippi
58,21,Male,Coat,Outerwear,64,West Virginia
59,69,Male,Hoodie,Clothing,54,Missouri
60,63,Male,Belt,Accessories,79,Louisiana
61,50,Male,Sweater,Clothing,37,Idaho
62,55,Male,Scarf,Accessories,68,Texas
63,30,Male,Sneakers,Footwear,21,Mississippi
64,33,Male,Sunglasses,Accessories,79,Arizona
65,65,Male,Boots,Footwear,83,Alabama
